市区町村,latitude,longitude,合計特殊出生率
庄内町,38.849915,139.904745,1.4
遊佐町,39.014616,139.907352,1.36
福島市,37.760834,140.474728,1.29
会津若松市,37.494761,139.92981,1.41
郡山市,37.400529,140.359742,1.34
いわき市,37.05042,140.887682,1.34
白河市,37.126362,140.210943,1.41
須賀川市,37.292893,140.356975,1.44
喜多方市,37.651355,139.874609,1.44
相馬市,37.796624,140.91947,1.45
二本松市,37.584858,140.431129,1.33
田村市,37.44055,140.576422,1.3
南相馬市,37.642161,140.957276,1.42
伊達市,37.819138,140.562908,1.25
本宮市,37.513131,140.39389,1.33
桑折町,37.849537,140.516352,1.29
国見町,37.837,140.549185,1.17
川俣町,37.663922,140.597333,1.26
大玉村,37.534392,140.371189,1.49
鏡石町,37.25283,140.343408,1.4
天栄村,37.255606,140.247074,1.36
下郷町,37.25558,139.872128,1.3
檜枝岐村,37.024146,139.388945,1.35
只見町,37.348801,139.316091,1.43
南会津町,37.200395,139.773199,1.36
北塩原村,37.655715,139.937374,1.33
西会津町,37.588798,139.647495,1.4
磐梯町,37.562115,139.98878,1.39
猪苗代町,37.557768,140.104761,1.32
会津坂下町,37.561481,139.821643,1.36
湯川村,37.565299,139.886778,1.35
柳津町,37.52616,139.719542,1.38
三島町,37.470369,139.644447,1.33
金山町,37.453851,139.524298,1.34
昭和村,37.335416,139.61066,1.35
会津美里町,37.459854,139.841178,1.38
西郷村,37.141696,140.155364,1.37
泉崎村,37.157052,140.295252,1.39
中島村,37.148757,140.350204,1.35
矢吹町,37.201278,140.338608,1.41
棚倉町,37.029905,140.379648,1.37
矢祭町,36.871403,140.424783,1.37
塙町,36.957437,140.409573,1.38
鮫川村,37.042327,140.509669,1.36
石川町,37.14433,140.452351,1.3
玉川村,37.210706,140.409038,1.36
平田村,37.221786,140.575876,1.29
浅川町,37.080995,140.412809,1.38
古殿町,37.089093,140.555649,1.31
三春町,37.441048,140.492569,1.27
小野町,37.286823,140.626277,1.31
広野町,37.214559,140.994458,1.38
楢葉町,37.2825,140.993611,0
富岡町,37.333056,141.016944,0
川内村,37.337691,140.809345,0
大熊町,37.404444,140.983611,0
双葉町,37.449167,141.0125,0
浪江町,37.483333,141,0
葛尾村,37.503611,140.764444,0
新地町,37.876357,140.919599,1.41
飯舘村,37.67919,140.735247,0
水戸市,36.366503,140.470996,1.42
日立市,36.599154,140.651469,1.3
土浦市,36.078297,140.204333,1.28
古河市,36.184645,139.702525,1.3
石岡市,36.190048,140.287556,1.3
結城市,36.305417,139.876641,1.24
龍ケ崎市,35.911594,140.182264,1.14
下妻市,36.184514,139.967374,1.33
常総市,36.023494,139.993617,1.22
常陸太田市,36.538275,140.53095,1.18
高萩市,36.719147,140.716688,1.26
北茨城市,36.801911,140.750979,1.29
笠間市,36.3453,140.304354,1.29
取手市,35.911442,140.050468,1.25
牛久市,35.979375,140.149524,1.26
